id,class
603,2
604,2
605,0
606,1
607,1
608,0
609,0
610,1
611,1
612,2
613,1
614,0
615,0
616,1
617,2
618,0
619,0
620,0
621,2
622,1
623,1
624,2
625,0
626,0
627,0
628,1
629,1
630,0
631,0
632,0
633,2
634,0
635,0
636,1
637,0
638,0
639,0
640,1
641,0
642,0
643,0
644,0
645,0
646,1
647,2
648,1
649,1
650,0
651,0
652,0
653,2
654,1
655,0
656,2
657,1
658,0
659,2
660,1
661,0
662,0
663,0
664,2
665,1
666,1
667,0
668,0
669,0
670,1
671,0
672,2
673,0
674,0
675,0
676,0
677,1
678,0
679,1
680,2
681,0
682,0
683,1
684,2
685,0
686,1
687,1
688,1
689,1
690,1
691,1
692,2
693,1
694,1
695,0
696,0
697,0
698,1
699,1
700,1
701,2
702,1
703,1
704,0
705,1
706,0
707,1
708,0
709,1
710,0
711,1
712,0
713,1
714,2
715,1
716,2
717,2
718,0
719,1
720,2
721,0
722,0
723,0
724,1
725,2
726,0
727,0
728,0
729,1
730,1
731,1
732,1
733,1
734,2
735,0
736,0
737,2
738,2
739,0
